Training Accuracy: 6375 / 6431 = 0.991292
11 12 14 3 / 4 Interm
1 8 4 2 / 6 Interm
5 9 6 0 / 4 Interm
37 12 0 0 / 3 Normal
13 7 0 2 / 4 Interm
12 1 1 0 / 2 Normal
6 1 0 3 / 2 Normal
7 2 1 1 / 3 Normal
16 9 0 1 / 4 Interm
55 3 0 3 / 2 Normal
43 14 0 6 / 3 Normal
34 4 2 6 / 2 Normal
12 1 1 6 / 2 Normal
5 9 7 3 / 4 Interm
12 8 1 7 / 4 Interm
24 0 0 0 / 1 Normal
28 2 0 1 / 3 Normal
25 4 0 6 / 3 Normal
57 7 0 5 / 3 Normal
7 0 0 1 / 1 Normal
140 8 1 5 / 3 Normal
311 42 4 30 / 4 Interm
97 12 1 10 / 3 Normal
7 9 3 6 / 4 Interm
1 14 9 1 / 6 Interm
232 219 94 83 / 4 Interm
67 81 12 22 / 4 Interm
242 130 39 39 / 4 Interm
63 21 3 23 / 3 Normal
65 51 16 17 / 4 Interm
97 121 39 43 / 4 Interm
